archive_date,adult_child,speciality,wait_0_6m,wait_6_12m,wait_12_18m,wait_18m_plus,total_waiting,Year,Month,pct_over_12m
25/05/2023,Adult,Metabolic Medicine,77,35,4,7,123,2023,5,8.943089431
25/05/2023,Adult,Rheumatology,7658,3073,1355,2469,14555,2023,5,26.2727585
25/05/2023,Adult,Radiotherapy,34,0,0,0,34,2023,5,0
25/05/2023,Adult,Psychiatry,432,43,5,0,480,2023,5,1.041666667
25/05/2023,Adult,Plastic Surgery,7730,3182,1574,4244,16730,2023,5,34.77585176
25/05/2023,Adult,Pathology,49,44,33,62,188,2023,5,50.53191489
25/05/2023,Adult,Palliative Medicine,24,0,2,0,26,2023,5,7.692307692
25/05/2023,Adult,Pain Relief,5626,3255,1884,3848,14613,2023,5,39.22534729
25/05/2023,Adult,Paediatrics,99,78,29,6,212,2023,5,16.50943396
25/05/2023,Adult,Respiratory Medicine,12098,4881,1884,2684,21547,2023,5,21.20016708
25/05/2023,Adult,Otolaryngology (ENT),19473,9112,4274,7687,40546,2023,5,29.49982736
25/05/2023,Adult,Paediatric Dermatology,17,28,4,0,50,2023,5,8
25/05/2023,Adult,Nephrology,2379,485,254,320,3438,2023,5,16.69575334
25/05/2023,Adult,Neurosurgery,3678,2081,1250,2333,9342,2023,5,38.35367159
25/05/2023,Adult,Oncology,552,4,0,0,556,2023,5,0
25/05/2023,Adult,Neurology,9846,4948,2781,5651,23226,2023,5,36.30414191
25/05/2023,Adult,Ophthalmology,16370,6474,3499,7307,33650,2023,5,32.11292719
25/05/2023,Adult,Oral Surgery,594,325,217,1226,2362,2023,5,61.09229467
25/05/2023,Adult,Orthopaedics,31985,18363,6795,7520,64663,2023,5,22.13785318
29/06/2023,Child,Orthopaedics,1566,670,302,446,2984,2023,6,25.06702413
29/06/2023,Child,Ophthalmology,2166,744,408,650,3968,2023,6,26.66330645
29/06/2023,Child,Neurology,27,8,4,2,40,2023,6,15
29/06/2023,Child,Maxillo-Facial,191,103,46,87,427,2023,6,31.14754098
29/06/2023,Child,Immunology,253,73,4,6,336,2023,6,2.976190476
29/06/2023,Child,Haematology,68,14,4,2,88,2023,6,6.818181818
29/06/2023,Child,Otolaryngology (ENT),5861,2239,1001,628,9729,2023,6,16.74375578
29/06/2023,Child,Gynaecology,537,131,61,12,741,2023,6,9.851551957
29/06/2023,Child,Developmental Paediatrics,260,232,194,302,988,2023,6,50.20242915
29/06/2023,Child,Gastro-Enterology,26,4,2,0,32,2023,6,6.25
29/06/2023,Child,Dermatology,1555,473,340,710,3078,2023,6,34.11306043
29/06/2023,Child,Dental Surgery,176,86,44,12,318,2023,6,17.61006289
29/06/2023,Child,Clinical Immunology,494,161,60,208,923,2023,6,29.03575298
29/06/2023,Child,Clinical (Medical) Genetics,492,355,294,65,1206,2023,6,29.76782753
29/06/2023,Child,Paed Cardiology,2147,1152,642,188,4129,2023,6,20.10171954
29/06/2023,Child,Cardiology,43,12,6,16,77,2023,6,28.57142857
29/06/2023,Child,General Surgery,862,357,165,167,1551,2023,6,21.40554481
29/06/2023,Child,Paed Endocrinology,458,195,28,50,731,2023,6,10.67031464
29/06/2023,Child,Paediatric Neurosurgery,26,2,0,0,28,2023,6,0
29/06/2023,Child,Paed Haematology,231,17,2,2,252,2023,6,1.587301587
29/06/2023,Child,Urology,965,466,161,326,1918,2023,6,25.39103233
29/06/2023,Child,Small Volume Specialities,59,19,11,0,89,2023,6,12.35955056
29/06/2023,Child,Rheumatology,311,156,172,611,1250,2023,6,62.64
29/06/2023,Child,Respiratory Medicine,18,4,2,0,24,2023,6,8.333333333
29/06/2023,Child,Plastic Surgery,748,291,163,259,1461,2023,6,28.8843258
29/06/2023,Child,Pain Relief,19,4,2,2,27,2023,6,14.81481481
29/06/2023,Child,Paediatrics,14007,5122,1736,444,21309,2023,6,10.23041907
29/06/2023,Child,Paediatric Urology,592,291,187,33,1103,2023,6,19.9456029
29/06/2023,Child,Paed Gastro-Enterol,577,137,61,76,851,2023,6,16.0987074
29/06/2023,Child,Paediatric Surgery,2298,1363,559,25,4245,2023,6,13.7573616
29/06/2023,Child,Cardio-Thoracic Surgery,59,2,4,0,64,2023,6,6.25
29/06/2023,Child,Paediatric Neurology,783,294,17,2,1096,2023,6,1.733576642
29/06/2023,Child,Paediatric Infectious Diseases,51,4,0,0,55,2023,6,0
29/06/2023,Child,Paediatric ENT,3841,1433,678,1502,7454,2023,6,29.24604239
29/06/2023,Child,Paediatric Dermatology,2905,1377,881,1547,6710,2023,6,36.18479881
29/06/2023,Child,Paed Orthopaedic,1789,1045,521,594,3949,2023,6,28.2349962
29/06/2023,Child,Paed Nephrology,312,119,17,7,455,2023,6,5.274725275
29/06/2023,Child,Paed Metabolic Medicine,38,4,2,2,45,2023,6,8.888888889
29/06/2023,Child,Paediatric Respiratory Medicine,787,360,275,486,1908,2023,6,39.88469602
29/06/2023,Adult,Vascular Surgery,7453,2975,1740,1720,13888,2023,6,24.91359447
29/06/2023,Child,General Medicine,24,5,2,0,31,2023,6,6.451612903
29/06/2023,Adult,Urology,12583,5210,2088,3814,23695,2023,6,24.90820848
29/06/2023,Adult,Hepato-Biliary Surgery,74,20,0,0,94,2023,6,0
29/06/2023,Adult,Haematology,5415,1891,988,898,9192,2023,6,20.5178416
29/06/2023,Adult,Gynaecology,21285,4728,1383,1263,28659,2023,6,9.232701769
29/06/2023,Adult,Geriatric Medicine,3234,392,90,115,3831,2023,6,5.351083268
29/06/2023,Adult,General Surgery,25873,5769,2469,1530,35641,2023,6,11.2202239
29/06/2023,Adult,General Medicine,10267,4261,2370,2205,19103,2023,6,23.94911794
29/06/2023,Adult,Gastro-Intestinal Surgery,160,58,26,9,253,2023,6,13.83399209
29/06/2023,Adult,Endocrinology,7943,4214,2773,4418,19348,2023,6,37.16663221
29/06/2023,Adult,Infectious Diseases,1031,440,2,2,1475,2023,6,0.271186441
29/06/2023,Adult,Diabetes Mellitus,1245,445,205,156,2051,2023,6,17.60117016
29/06/2023,Adult,Clinical Neurophysiology,711,428,432,309,1880,2023,6,39.41489362
29/06/2023,Adult,Clinical Immunology,1235,654,357,11,2257,2023,6,16.30482942
29/06/2023,Adult,Clinical (Medical) Genetics,1013,805,733,724,3275,2023,6,44.48854962
29/06/2023,Adult,Chemical Pathology,52,29,2,0,83,2023,6,2.409638554
29/06/2023,Adult,Cardiology,21657,9106,4077,2106,36946,2023,6,16.73523521
29/06/2023,Adult,Cardio-Thoracic Surgery,280,44,25,21,370,2023,6,12.43243243
29/06/2023,Adult,Breast Surgery,1896,14,0,0,1910,2023,6,0
29/06/2023,Adult,Small Volume Specialities,69,28,13,8,118,2023,6,17.79661017
29/06/2023,Adult,Dermatology,24754,8864,3964,6748,44330,2023,6,24.16422287
29/06/2023,Adult,Maxillo-Facial,1680,747,508,2268,5203,2023,6,53.35383433
29/06/2023,Adult,Gastro-Enterology,10669,3385,1176,746,15976,2023,6,12.03054582
29/06/2023,Adult,Microbiology,25,2,2,0,29,2023,6,6.896551724
29/06/2023,Adult,Metabolic Medicine,86,24,4,2,116,2023,6,5.172413793
29/06/2023,Adult,Respiratory Medicine,12396,4678,1925,2631,21630,2023,6,21.06333796
29/06/2023,Adult,Radiotherapy,48,0,0,0,48,2023,6,0
29/06/2023,Adult,Psychiatry,453,31,10,0,494,2023,6,2.024291498
29/06/2023,Adult,Plastic Surgery,8368,2986,1561,3829,16744,2023,6,32.19063545
29/06/2023,Adult,Pathology,62,31,37,68,198,2023,6,53.03030303
29/06/2023,Adult,Palliative Medicine,22,2,2,0,26,2023,6,7.692307692
29/06/2023,Adult,Pain Relief,5781,3280,1935,3653,14649,2023,6,38.14594853
29/06/2023,Adult,Paediatrics,112,75,19,6,212,2023,6,11.79245283
29/06/2023,Adult,Rheumatology,8020,2873,1364,2247,14504,2023,6,24.89658025
29/06/2023,Adult,Paediatric Dermatology,11,31,4,2,48,2023,6,12.5
29/06/2023,Adult,Paediatric Neurology,12,9,0,0,21,2023,6,0
29/06/2023,Adult,Neurology,10052,4739,2627,5456,22874,2023,6,35.33706392
29/06/2023,Adult,Neurosurgery,3844,2017,1287,2437,9585,2023,6,38.8523735
29/06/2023,Adult,Oncology,575,8,0,0,583,2023,6,0
29/06/2023,Adult,Nephrology,2528,493,250,298,3569,2023,6,15.35444102
29/06/2023,Adult,Orthopaedics,33058,17458,7180,7171,64867,2023,6,22.12373009
29/06/2023,Adult,Otolaryngology (ENT),19900,8768,4187,6259,39114,2023,6,26.70655008
29/06/2023,Adult,Ophthalmology,16701,6562,3573,6837,33673,2023,6,30.91497639
27/07/2023,Child,General Surgery,882,340,155,156,1533,2023,7,20.28701892
27/07/2023,Child,Neurology,23,10,4,2,38,2023,7,15.78947368
27/07/2023,Child,Maxillo-Facial,206,99,46,85,436,2023,7,30.04587156
27/07/2023,Child,Immunology,252,71,4,2,328,2023,7,1.829268293
27/07/2023,Child,Haematology,71,9,4,2,85,2023,7,7.058823529
27/07/2023,Child,Ophthalmology,2070,755,454,644,3923,2023,7,27.98878409
27/07/2023,Child,Gynaecology,518,142,63,9,732,2023,7,9.836065574
27/07/2023,Child,General Medicine,23,7,2,0,31,2023,7,6.451612903
27/07/2023,Child,Clinical Immunology,438,175,73,183,869,2023,7,29.45914845
27/07/2023,Child,Developmental Paediatrics,355,248,208,290,1101,2023,7,45.23160763
27/07/2023,Child,Dermatology,1617,491,366,694,3168,2023,7,33.45959596
27/07/2023,Child,Dental Surgery,184,88,40,7,319,2023,7,14.73354232
27/07/2023,Child,Clinical (Medical) Genetics,548,335,296,42,1221,2023,7,27.68222768
27/07/2023,Child,Cardiology,47,10,7,16,80,2023,7,28.75
27/07/2023,Child,Cardio-Thoracic Surgery,56,2,2,0,60,2023,7,3.333333333
27/07/2023,Adult,Vascular Surgery,8048,2818,1805,1590,14261,2023,7,23.8061847
27/07/2023,Child,Orthopaedics,1612,619,321,442,2994,2023,7,25.48430194
27/07/2023,Child,Gastro-Enterology,26,4,2,0,31,2023,7,6.451612903
27/07/2023,Child,Otolaryngology (ENT),5812,2367,1034,511,9724,2023,7,15.88852324
27/07/2023,Child,Urology,985,492,145,311,1933,2023,7,23.59027419
27/07/2023,Child,Paed Endocrinology,490,168,27,38,723,2023,7,8.990318119
27/07/2023,Child,Small Volume Specialities,73,23,13,2,110,2023,7,13.63636364
27/07/2023,Child,Rheumatology,318,151,169,610,1248,2023,7,62.41987179
27/07/2023,Child,Plastic Surgery,795,270,156,248,1469,2023,7,27.50170184
27/07/2023,Child,Pain Relief,17,7,2,2,27,2023,7,14.81481481
27/07/2023,Child,Paediatrics,13648,5018,1865,426,20957,2023,7,10.93190819
27/07/2023,Child,Paediatric Urology,576,288,177,46,1087,2023,7,20.51517939
27/07/2023,Child,Paediatric Surgery,2377,1351,563,25,4316,2023,7,13.62372567
27/07/2023,Child,Paediatric Respiratory Medicine,734,350,279,418,1781,2023,7,39.13531724
27/07/2023,Child,Paed Cardiology,2242,1216,669,245,4372,2023,7,20.90576395
27/07/2023,Child,Paediatric Neurosurgery,34,4,0,2,39,2023,7,5.128205128
27/07/2023,Child,Paediatric Infectious Diseases,44,4,2,2,51,2023,7,7.843137255
27/07/2023,Child,Paediatric ENT,3680,1673,723,1415,7491,2023,7,28.54091577
27/07/2023,Child,Paediatric Dermatology,2939,1393,950,1341,6623,2023,7,34.59157482
27/07/2023,Child,Paed Orthopaedic,1782,1076,573,556,3987,2023,7,28.31703035
27/07/2023,Child,Paed Nephrology,307,124,21,5,457,2023,7,5.689277899
27/07/2023,Child,Paed Metabolic Medicine,42,4,2,2,49,2023,7,8.163265306
27/07/2023,Child,Paed Haematology,260,17,2,0,279,2023,7,0.716845878
27/07/2023,Child,Paed Gastro-Enterol,589,156,59,74,878,2023,7,15.14806378
27/07/2023,Child,Paediatric Neurology,739,308,20,2,1069,2023,7,2.057998129
27/07/2023,Adult,Urology,12967,4757,1970,3618,23312,2023,7,23.9704873
27/07/2023,Adult,Small Volume Specialities,81,24,15,8,128,2023,7,17.96875
27/07/2023,Adult,Respiratory Medicine,12300,4742,2037,2550,21629,2023,7,21.20763789
27/07/2023,Adult,Haematology,5472,1880,1052,793,9197,2023,7,20.06088942
27/07/2023,Adult,Gynaecology,22138,4597,1362,1082,29179,2023,7,8.375886768
27/07/2023,Adult,Geriatric Medicine,3271,391,93,99,3854,2023,7,4.981837052
27/07/2023,Adult,General Surgery,26459,5714,2502,1429,36104,2023,7,10.88799025
27/07/2023,Adult,General Medicine,10417,3866,2507,2150,18940,2023,7,24.58817318
27/07/2023,Adult,Gastro-Intestinal Surgery,163,70,27,9,269,2023,7,13.38289963
27/07/2023,Adult,Gastro-Enterology,11111,3478,1166,641,16396,2023,7,11.02098073
27/07/2023,Adult,Endocrinology,8159,4058,2982,4429,19628,2023,7,37.75728551
27/07/2023,Adult,Diabetes Mellitus,1340,419,192,106,2057,2023,7,14.48711716
27/07/2023,Adult,Dermatology,26077,8673,4255,6582,45587,2023,7,23.77212802
27/07/2023,Adult,Clinical Neurophysiology,626,393,434,283,1736,2023,7,41.30184332
27/07/2023,Adult,Clinical Immunology,1312,603,413,6,2334,2023,7,17.95201371
27/07/2023,Adult,Clinical (Medical) Genetics,1048,752,793,766,3359,2023,7,46.4126228
27/07/2023,Adult,Chemical Pathology,49,14,0,0,63,2023,7,0
27/07/2023,Adult,Cardiology,22210,8377,4160,1837,36584,2023,7,16.39241198
27/07/2023,Adult,Cardio-Thoracic Surgery,313,41,27,23,404,2023,7,12.37623762
27/07/2023,Adult,Breast Surgery,2109,16,0,0,2125,2023,7,0
27/07/2023,Adult,Hepato-Biliary Surgery,81,14,2,0,97,2023,7,2.06185567
27/07/2023,Adult,Infectious Diseases,860,443,2,2,1307,2023,7,0.306044376
27/07/2023,Adult,Rheumatology,8381,2665,1424,2041,14511,2023,7,23.87843705
27/07/2023,Adult,Metabolic Medicine,94,23,2,2,121,2023,7,3.305785124
27/07/2023,Adult,Radiotherapy,40,0,0,0,40,2023,7,0
27/07/2023,Adult,Radiology,32,4,2,2,40,2023,7,10
27/07/2023,Adult,Psychiatry,445,33,7,0,485,2023,7,1.443298969
27/07/2023,Adult,Plastic Surgery,8733,2903,1468,3658,16762,2023,7,30.58107624
27/07/2023,Adult,Pathology,36,40,37,63,176,2023,7,56.81818182
27/07/2023,Adult,Maxillo-Facial,1713,668,480,1637,4498,2023,7,47.06536238
27/07/2023,Adult,Pain Relief,5912,3408,1925,3617,14862,2023,7,37.2897322
27/07/2023,Adult,Paediatrics,117,77,31,7,232,2023,7,16.37931034
27/07/2023,Adult,Paediatric Neurology,10,12,2,0,24,2023,7,8.333333333
27/07/2023,Adult,Palliative Medicine,31,6,2,0,39,2023,7,5.128205128
27/07/2023,Adult,Otolaryngology (ENT),20426,8588,4338,5908,39260,2023,7,26.09780948
27/07/2023,Adult,Orthopaedics,33953,16661,7785,6576,64975,2023,7,22.10234706
27/07/2023,Adult,Ophthalmology,17075,6565,3689,6302,33631,2023,7,29.70771015
27/07/2023,Adult,Oncology,564,6,0,0,570,2023,7,0
27/07/2023,Adult,Neurosurgery,3980,2096,1251,2602,9929,2023,7,38.80551919
27/07/2023,Adult,Neurology,10432,4687,2619,5230,22968,2023,7,34.17363288
27/07/2023,Adult,Nephrology,2744,495,250,284,3773,2023,7,14.15319375
27/07/2023,Adult,Microbiology,26,0,0,2,28,2023,7,7.142857143
27/07/2023,Adult,Paediatric Dermatology,9,32,4,0,45,2023,7,8.888888889
31/08/2023,Child,General Surgery,837,359,158,151,1505,2023,8,20.53156146
31/08/2023,Child,Gynaecology,495,149,57,7,708,2023,8,9.039548023
31/08/2023,Child,Haematology,80,14,4,0,98,2023,8,4.081632653
31/08/2023,Child,Ophthalmology,1992,803,421,646,3862,2023,8,27.62817193
31/08/2023,Child,Maxillo-Facial,195,98,47,79,419,2023,8,30.07159905
31/08/2023,Child,Neurology,22,8,4,2,35,2023,8,17.14285714
31/08/2023,Child,Immunology,243,60,13,2,318,2023,8,4.716981132
31/08/2023,Child,General Medicine,23,4,0,2,28,2023,8,7.142857143
31/08/2023,Adult,Urology,12875,5045,2014,3569,23503,2023,8,23.75441433
31/08/2023,Child,Developmental Paediatrics,372,223,220,281,1096,2023,8,45.71167883
31/08/2023,Child,Dermatology,1557,521,366,694,3138,2023,8,33.77947737
31/08/2023,Child,Dental Surgery,212,79,50,14,355,2023,8,18.02816901
31/08/2023,Child,Clinical Immunology,362,207,80,177,826,2023,8,31.11380145
31/08/2023,Child,Clinical (Medical) Genetics,509,337,248,23,1117,2023,8,24.2614145
31/08/2023,Child,Cardiology,41,18,4,14,76,2023,8,23.68421053
31/08/2023,Child,Cardio-Thoracic Surgery,42,2,2,0,46,2023,8,4.347826087
31/08/2023,Adult,Vascular Surgery,8482,2612,1874,1402,14370,2023,8,22.79749478
31/08/2023,Child,Orthopaedics,1521,660,325,441,2947,2023,8,25.99253478
31/08/2023,Child,Gastro-Enterology,26,4,0,0,29,2023,8,0
31/08/2023,Child,Otolaryngology (ENT),5286,2668,809,507,9270,2023,8,14.19633225
31/08/2023,Child,Paediatric Infectious Diseases,52,4,2,0,57,2023,8,3.50877193
31/08/2023,Child,Paed Endocrinology,500,159,21,27,707,2023,8,6.789250354
31/08/2023,Child,Urology,1004,492,156,322,1974,2023,8,24.2147923
31/08/2023,Adult,Small Volume Specialities,89,25,9,4,127,2023,8,10.23622047
