archive_date,adult_child,speciality,wait_0_6m,wait_6_12m,wait_12_18m,wait_18m_plus,total_waiting,Year,Month,pct_over_12m
26/09/2024,Adult,Orthopaedics,38799,16083,6433,3682,64997,2024,9,15.56225672
31/10/2024,Child,Otolaryngology (ENT),4834,2661,810,505,8810,2024,10,14.9262202
31/10/2024,Child,Orthopaedics,1385,426,201,377,2388,2024,10,24.20435511
31/10/2024,Child,Ophthalmology,1924,780,405,487,3596,2024,10,24.80533927
31/10/2024,Child,Maxillo-Facial,252,33,13,2,300,2024,10,5
31/10/2024,Child,Immunology,257,69,30,21,377,2024,10,13.52785146
31/10/2024,Child,Gynaecology,435,166,58,2,661,2024,10,9.077155825
31/10/2024,Child,General Surgery,803,260,59,4,1126,2024,10,5.595026643
31/10/2024,Adult,Urology,13972,5726,1934,1368,23000,2024,10,14.35652174
31/10/2024,Child,Dermatology,1740,986,447,636,3809,2024,10,28.43265949
31/10/2024,Child,Dental Surgery,219,112,63,58,452,2024,10,26.7699115
31/10/2024,Child,Clinical Immunology,378,186,105,45,714,2024,10,21.00840336
31/10/2024,Child,Clinical (Medical) Genetics,55,7,31,13,106,2024,10,41.50943396
31/10/2024,Child,Cardiology,11,18,5,0,34,2024,10,14.70588235
31/10/2024,Child,Cardio-Thoracic Surgery,51,4,2,0,57,2024,10,3.50877193
31/10/2024,Adult,Vascular Surgery,8756,2096,1187,734,12773,2024,10,15.03953652
31/10/2024,Child,Paed Cardiology,1966,1310,750,162,4188,2024,10,21.7765043
31/10/2024,Child,Developmental Paediatrics,371,254,120,184,929,2024,10,32.72335845
31/10/2024,Child,Paed Endocrinology,537,173,33,9,752,2024,10,5.585106383
31/10/2024,Child,Paediatric Neurology,755,521,253,99,1628,2024,10,21.62162162
31/10/2024,Child,Paed Haematology,231,43,0,0,274,2024,10,0
31/10/2024,Adult,Small Volume Specialties,452,101,26,5,583,2024,10,5.317324185
31/10/2024,Child,Urology,902,501,290,162,1855,2024,10,24.36657682
31/10/2024,Child,Small Volume Specialties,459,124,43,18,644,2024,10,9.472049689
31/10/2024,Child,Rheumatology,330,140,100,362,932,2024,10,49.57081545
31/10/2024,Child,Pain Relief,27,10,2,0,39,2024,10,5.128205128
31/10/2024,Child,Paediatrics,12371,4693,1546,579,19189,2024,10,11.07405284
31/10/2024,Child,Paediatric Urology,1052,644,221,22,1939,2024,10,12.53223311
31/10/2024,Child,Paed Gastro-Enterol,515,125,89,149,878,2024,10,27.1070615
31/10/2024,Child,Paediatric Surgery,1423,570,351,97,2441,2024,10,18.35313396
31/10/2024,Child,Paediatric Neurosurgery,68,2,0,0,70,2024,10,0
31/10/2024,Child,Paediatric Infectious Diseases,46,12,0,2,60,2024,10,3.333333333
31/10/2024,Child,Paediatric ENT,2745,1942,962,1087,6736,2024,10,30.41864608
31/10/2024,Child,Paediatric Dermatology,2714,1686,1006,800,6206,2024,10,29.10087013
31/10/2024,Child,Paed Orthopaedic,1578,707,625,838,3748,2024,10,39.03415155
31/10/2024,Child,Paed Nephrology,252,167,102,59,580,2024,10,27.75862069
31/10/2024,Child,Paed Metabolic Medicine,32,0,0,0,32,2024,10,0
31/10/2024,Child,Paediatric Respiratory Medicine,847,461,175,152,1635,2024,10,20
31/10/2024,Adult,Rheumatology,8247,2595,810,668,12320,2024,10,11.99675325
31/10/2024,Child,Plastic Surgery,816,188,77,109,1190,2024,10,15.6302521
31/10/2024,Adult,Radiotherapy,24,0,0,0,24,2024,10,0
31/10/2024,Adult,Geriatric Medicine,3621,445,88,80,4234,2024,10,3.967879074
31/10/2024,Adult,General Surgery,24260,4738,1088,136,30222,2024,10,4.05002978
31/10/2024,Adult,General Medicine,7623,2574,646,826,11670,2024,10,12.61353899
31/10/2024,Adult,Gastro-Intestinal Surgery,440,130,0,0,570,2024,10,0
31/10/2024,Adult,Gastro-Enterology,12542,3940,1183,245,17911,2024,10,7.972754173
31/10/2024,Adult,Endocrinology,9302,3759,1937,4869,19866,2024,10,34.25953891
31/10/2024,Adult,Diabetes Mellitus,1385,566,143,15,2109,2024,10,7.491702229
31/10/2024,Adult,Gynaecology,24518,4914,822,498,30751,2024,10,4.292543332
31/10/2024,Adult,Dermatology,30311,12863,5566,5446,54186,2024,10,20.32259255
31/10/2024,Adult,Clinical Immunology,1672,1006,604,331,3613,2024,10,25.8787711
31/10/2024,Adult,Clinical (Medical) Genetics,851,528,476,688,2543,2024,10,45.7727094
31/10/2024,Adult,Chemical Pathology,61,21,0,0,82,2024,10,0
31/10/2024,Adult,Cardiology,23397,10602,3383,1926,39307,2024,10,13.50650011
31/10/2024,Adult,Respiratory Medicine,13019,6515,2410,2341,24285,2024,10,19.56351657
31/10/2024,Adult,Cardio-Thoracic Surgery,380,47,6,8,441,2024,10,3.174603175
31/10/2024,Adult,Breast Surgery,2190,26,2,2,2220,2024,10,0.18018018
31/10/2024,Adult,Clinical Neurophysiology,830,371,139,19,1359,2024,10,11.62619573
31/10/2024,Adult,Haematology,6412,2310,979,355,10056,2024,10,13.26571201
31/10/2024,Adult,Anaesthetics,73,2,0,0,75,2024,10,0
31/10/2024,Adult,Infectious Diseases,1076,231,153,184,1644,2024,10,20.49878345
31/10/2024,Adult,Psychiatry,445,79,7,0,531,2024,10,1.31826742
31/10/2024,Adult,Plastic Surgery,8079,2073,1181,2304,13637,2024,10,25.55547408
31/10/2024,Adult,Pathology,62,45,25,56,188,2024,10,43.08510638
31/10/2024,Adult,Pain Relief,7044,4116,1830,1561,14551,2024,10,23.30424026
31/10/2024,Adult,Paediatrics,43,59,33,8,141,2024,10,29.07801418
31/10/2024,Adult,Hepato-Biliary Surgery,99,31,3,2,135,2024,10,3.703703704
